dexNum,id,evoDexNum,evoId,prevoKey,evoKey,levelNeeded,evoItems,evoDelay,timeOfDayCond,biomeCond,genderEvo,moveTypeCond,knowsMove,friendship,haveCaught,tyrogueStats,rockruffAbility,shedinjaBs,weatherCond,dunsparceSeed,nature,partyTypeCond,heldItemCond,evoTreasureTracker
1,BULBASAUR,2,IVYSAUR,,,16,,,,,,,,,,,,,,,,,,
2,IVYSAUR,3,VENUSAUR,,,32,,,,,,,,,,,,,,,,,,
4,CHARMANDER,5,CHARMELEON,,,16,,,,,,,,,,,,,,,,,,
5,CHARMELEON,6,CHARIZARD,,,36,,,,,,,,,,,,,,,,,,
7,SQUIRTLE,8,WARTORTLE,,,16,,,,,,,,,,,,,,,,,,
8,WARTORTLE,9,BLASTOISE,,,36,,,,,,,,,,,,,,,,,,
10,CATERPIE,11,METAPOD,,,7,,,,,,,,,,,,,,,,,,
11,METAPOD,12,BUTTERFREE,,,10,,,,,,,,,,,,,,,,,,
13,WEEDLE,14,KAKUNA,,,7,,,,,,,,,,,,,,,,,,
14,KAKUNA,15,BEEDRILL,,,10,,,,,,,,,,,,,,,,,,
16,PIDGEY,17,PIDGEOTTO,,,18,,,,,,,,,,,,,,,,,,
17,PIDGEOTTO,18,PIDGEOT,,,36,,,,,,,,,,,,,,,,,,
19,RATTATA,20,RATICATE,,,20,,,,,,,,,,,,,,,,,,
21,SPEAROW,22,FEAROW,,,20,,,,,,,,,,,,,,,,,,
23,EKANS,24,ARBOK,,,22,,,,,,,,,,,,,,,,,,
25,PIKACHU,2026,ALOLA_RAICHU,,,1,SHINY_STONE,30|35|40,,,,,,,,,,,,,,,,
25,PIKACHU,2026,ALOLA_RAICHU,partner,,1,SHINY_STONE,30|35|40,,,,,,,,,,,,,,,,
25,PIKACHU,26,RAICHU,,,1,THUNDER_STONE,30|35|40,,,,,,,,,,,,,,,,
25,PIKACHU,26,RAICHU,partner,,1,THUNDER_STONE,30|35|40,,,,,,,,,,,,,,,,
27,SANDSHREW,28,SANDSLASH,,,22,,,,,,,,,,,,,,,,,,
29,NIDORAN_F,30,NIDORINA,,,16,,,,,,,,,,,,,,,,,,
30,NIDORINA,31,NIDOQUEEN,,,1,MOON_STONE,32|36|42,,,,,,,,,,,,,,,,
32,NIDORAN_M,33,NIDORINO,,,16,,,,,,,,,,,,,,,,,,
33,NIDORINO,34,NIDOKING,,,1,MOON_STONE,32|36|42,,,,,,,,,,,,,,,,
35,CLEFAIRY,36,CLEFABLE,,,1,MOON_STONE,32|32|36,,,,,,,,,,,,,,,,
37,VULPIX,38,NINETALES,,,1,FIRE_STONE,30|35|40,,,,,,,,,,,,,,,,
39,JIGGLYPUFF,40,WIGGLYTUFF,,,1,MOON_STONE,30|35|40,,,,,,,,,,,,,,,,
41,ZUBAT,42,GOLBAT,,,22,,,,,,,,,,,,,,,,,,
42,GOLBAT,169,CROBAT,,,1,,42|48|54,,,,,,120,,,,,,,,,,
43,ODDISH,44,GLOOM,,,21,,,,,,,,,,,,,,,,,,
44,GLOOM,45,VILEPLUME,,,1,LEAF_STONE,30|35|40,,,,,,,,,,,,,,,,
44,GLOOM,182,BELLOSSOM,,,1,SUN_STONE,30|35|40,,,,,,,,,,,,,,,,
46,PARAS,47,PARASECT,,,24,,,,,,,,,,,,,,,,,,
48,VENONAT,49,VENOMOTH,,,31,,,,,,,,,,,,,,,,,,
50,DIGLETT,51,DUGTRIO,,,26,,,,,,,,,,,,,,,,,,
52,MEOWTH,53,PERSIAN,,,28,,,,,,,,,,,,,,,,,,
54,PSYDUCK,55,GOLDUCK,,,33,,,,,,,,,,,,,,,,,,
56,MANKEY,57,PRIMEAPE,,,28,,,,,,,,,,,,,,,,,,
57,PRIMEAPE,979,ANNIHILAPE,,,35,,45|55|65,,,,,RAGE_FIST,,,,,,,,,,,
58,GROWLITHE,59,ARCANINE,,,1,FIRE_STONE,30|35|40,,,,,,,,,,,,,,,,
60,POLIWAG,61,POLIWHIRL,,,25,,,,,,,,,,,,,,,,,,
61,POLIWHIRL,62,POLIWRATH,,,1,WATER_STONE,30|35|40,,,,,,,,,,,,,,,,
61,POLIWHIRL,186,POLITOED,,,1,LINKING_CORD,30|35|40,,,,,,,,,,,,,,,,
63,ABRA,64,KADABRA,,,16,,,,,,,,,,,,,,,,,,
64,KADABRA,65,ALAKAZAM,,,1,LINKING_CORD,40|45|50,,,,,,,,,,,,,,,,
66,MACHOP,67,MACHOKE,,,28,,,,,,,,,,,,,,,,,,
67,MACHOKE,68,MACHAMP,,,1,LINKING_CORD,38|46|54,,,,,,,,,,,,,,,,
69,BELLSPROUT,70,WEEPINBELL,,,21,,,,,,,,,,,,,,,,,,
70,WEEPINBELL,71,VICTREEBEL,,,1,LEAF_STONE,31|36|41,,,,,,,,,,,,,,,,
72,TENTACOOL,73,TENTACRUEL,,,30,,,,,,,,,,,,,,,,,,
74,GEODUDE,75,GRAVELER,,,25,,,,,,,,,,,,,,,,,,
75,GRAVELER,76,GOLEM,,,1,LINKING_CORD,35|45|55,,,,,,,,,,,,,,,,
77,PONYTA,78,RAPIDASH,,,40,,,,,,,,,,,,,,,,,,
79,SLOWPOKE,80,SLOWBRO,,,37,,,,,,,,,,,,,,,,,,
79,SLOWPOKE,199,SLOWKING,,,1,LINKING_CORD,37|37|37,,,,,,,,,,,,,,,,
81,MAGNEMITE,82,MAGNETON,,,30,,,,,,,,,,,,,,,,,,
82,MAGNETON,462,MAGNEZONE,,,1,THUNDER_STONE,50|55|60,,,,,,,,,,,,,,,,
84,DODUO,85,DODRIO,,,31,,,,,,,,,,,,,,,,,,
86,SEEL,87,DEWGONG,,,34,,,,,,,,,,,,,,,,,,
88,GRIMER,89,MUK,,,38,,,,,,,,,,,,,,,,,,
90,SHELLDER,91,CLOYSTER,,,1,WATER_STONE,36|40|44,,,,,,,,,,,,,,,,
92,GASTLY,93,HAUNTER,,,25,,,,,,,,,,,,,,,,,,
93,HAUNTER,94,GENGAR,,,1,LINKING_CORD,40|45|50,,,,,,,,,,,,,,,,
95,ONIX,208,STEELIX,,,1,LINKING_CORD,35|40|45,,,,STEEL,,,,,,,,,,,,
96,DROWZEE,97,HYPNO,,,26,,,,,,,,,,,,,,,,,,
98,KRABBY,99,KINGLER,,,28,,,,,,,,,,,,,,,,,,
100,VOLTORB,101,ELECTRODE,,,30,,,,,,,,,,,,,,,,,,
102,EXEGGCUTE,2103,ALOLA_EXEGGUTOR,,,1,SUN_STONE,35|40|40,,,,,,,,,,,,,,,,
102,EXEGGCUTE,103,EXEGGUTOR,,,1,LEAF_STONE,35|40|40,,,,,,,,,,,,,,,,
104,CUBONE,2105,ALOLA_MAROWAK,,,28,,,DUSK|NIGHT,,,,,,,,,,,,,,,
104,CUBONE,105,MAROWAK,,,28,,,DAWN|DAY,,,,,,,,,,,,,,,
108,LICKITUNG,463,LICKILICKY,,,33,,33|38|48,,,,,ROLLOUT,,,,,,,,,,,
109,KOFFING,4110,GALAR_WEEZING,,,35,,,DUSK|NIGHT,,,,,,,,,,,,,,,
109,KOFFING,110,WEEZING,,,35,,,DAWN|DAY,,,,,,,,,,,,,,,
111,RHYHORN,112,RHYDON,,,42,,,,,,,,,,,,,,,,,,
112,RHYDON,464,RHYPERIOR,,,1,PROTECTOR,72|82|92,,,,,,,,,,,,,,,,
113,CHANSEY,242,BLISSEY,,,1,,40|45|45,,,,,,180,,,,,,,,,,
114,TANGELA,465,TANGROWTH,,,33,,33|39|45,,,,,ANCIENT_POWER,,,,,,,,,,,
116,HORSEA,117,SEADRA,,,32,,,,,,,,,,,,,,,,,,
117,SEADRA,230,KINGDRA,,,1,DRAGON_SCALE,42|52|62,,,,,,,,,,,,,,,,
118,GOLDEEN,119,SEAKING,,,33,,,,,,,,,,,,,,,,,,
120,STARYU,121,STARMIE,,,1,WATER_STONE,20|25|30,,,,,,,,,,,,,,,,
123,SCYTHER,212,SCIZOR,,,1,LINKING_CORD,40|50|60,,,,STEEL,,,,,,,,,,,,
123,SCYTHER,900,KLEAVOR,,,1,BLACK_AUGURITE,40|50|60,,,,,,,,,,,,,,,,
125,ELECTABUZZ,466,ELECTIVIRE,,,1,ELECTIRIZER,50|60|70,,,,,,,,,,,,,,,,
126,MAGMAR,467,MAGMORTAR,,,1,MAGMARIZER,50|60|70,,,,,,,,,,,,,,,,
129,MAGIKARP,130,GYARADOS,,,20,,,,,,,,,,,,,,,,,,
133,EEVEE,700,SYLVEON,,,1,,24|28|28,,,,FAIRY,,120,,,,,,,,,,
133,EEVEE,700,SYLVEON,partner,,1,,24|28|28,,,,FAIRY,,120,,,,,,,,,,
133,EEVEE,196,ESPEON,,,1,,24|28|28,DAWN|DAY,,,,,120,,,,,,,,,,
133,EEVEE,196,ESPEON,partner,,1,,24|28|28,DAWN|DAY,,,,,120,,,,,,,,,,
133,EEVEE,197,UMBREON,,,1,,24|28|28,DUSK|NIGHT,,,,,120,,,,,,,,,,
133,EEVEE,197,UMBREON,partner,,1,,24|28|28,DUSK|NIGHT,,,,,120,,,,,,,,,,
133,EEVEE,134,VAPOREON,,,1,WATER_STONE,24|28|28,,,,,,,,,,,,,,,,
133,EEVEE,134,VAPOREON,partner,,1,WATER_STONE,24|28|28,,,,,,,,,,,,,,,,
133,EEVEE,135,JOLTEON,,,1,THUNDER_STONE,24|28|28,,,,,,,,,,,,,,,,
133,EEVEE,135,JOLTEON,partner,,1,THUNDER_STONE,24|28|28,,,,,,,,,,,,,,,,
133,EEVEE,136,FLAREON,,,1,FIRE_STONE,24|28|28,,,,,,,,,,,,,,,,
133,EEVEE,136,FLAREON,partner,,1,FIRE_STONE,24|28|28,,,,,,,,,,,,,,,,
133,EEVEE,470,LEAFEON,,,1,LEAF_STONE,24|28|28,,,,,,,,,,,,,,,,
133,EEVEE,470,LEAFEON,partner,,1,LEAF_STONE,24|28|28,,,,,,,,,,,,,,,,
133,EEVEE,471,GLACEON,,,1,ICE_STONE,24|28|28,,,,,,,,,,,,,,,,
133,EEVEE,471,GLACEON,partner,,1,ICE_STONE,24|28|28,,,,,,,,,,,,,,,,
137,PORYGON,233,PORYGON2,,,1,UPGRADE,32|40|48,,,,,,,,,,,,,,,,
138,OMANYTE,139,OMASTAR,,,40,,,,,,,,,,,,,,,,,,
140,KABUTO,141,KABUTOPS,,,40,,,,,,,,,,,,,,,,,,
147,DRATINI,148,DRAGONAIR,,,30,,,,,,,,,,,,,,,,,,
148,DRAGONAIR,149,DRAGONITE,,,55,,,,,,,,,,,,,,,,,,
152,CHIKORITA,153,BAYLEEF,,,16,,,,,,,,,,,,,,,,,,
153,BAYLEEF,154,MEGANIUM,,,32,,,,,,,,,,,,,,,,,,
155,CYNDAQUIL,156,QUILAVA,,,14,,,,,,,,,,,,,,,,,,
156,QUILAVA,6157,HISUI_TYPHLOSION,,,36,,,DUSK|NIGHT,,,,,,,,,,,,,,,
156,QUILAVA,157,TYPHLOSION,,,36,,,DAWN|DAY,,,,,,,,,,,,,,,
158,TOTODILE,159,CROCONAW,,,18,,,,,,,,,,,,,,,,,,
159,CROCONAW,160,FERALIGATR,,,30,,,,,,,,,,,,,,,,,,
161,SENTRET,162,FURRET,,,15,,,,,,,,,,,,,,,,,,
163,HOOTHOOT,164,NOCTOWL,,,20,,,,,,,,,,,,,,,,,,
165,LEDYBA,166,LEDIAN,,,18,,,,,,,,,,,,,,,,,,
167,SPINARAK,168,ARIADOS,,,22,,,,,,,,,,,,,,,,,,
170,CHINCHOU,171,LANTURN,,,27,,,,,,,,,,,,,,,,,,
172,PICHU,25,PIKACHU,spiky,partner,1,,12|12|16,,,,,,90,,,,,,,,,,
172,PICHU,25,PIKACHU,,,1,,12|12|16,,,,,,90,,,,,,,,,,
173,CLEFFA,35,CLEFAIRY,,,1,,12|12|16,,,,,,160,,,,,,,,,,
174,IGGLYBUFF,39,JIGGLYPUFF,,,1,,12|12|16,,,,,,70,,,,,,,,,,
175,TOGEPI,176,TOGETIC,,,1,,20|25|25,,,,,,70,,,,,,,,,,
176,TOGETIC,468,TOGEKISS,,,1,SHINY_STONE,40|45|50,,,,,,,,,,,,,,,,
177,NATU,178,XATU,,,25,,,,,,,,,,,,,,,,,,
179,MAREEP,180,FLAAFFY,,,15,,,,,,,,,,,,,,,,,,
180,FLAAFFY,181,AMPHAROS,,,30,,,,,,,,,,,,,,,,,,
183,MARILL,184,AZUMARILL,,,18,,,,,,,,,,,,,,,,,,
187,HOPPIP,188,SKIPLOOM,,,18,,,,,,,,,,,,,,,,,,
188,SKIPLOOM,189,JUMPLUFF,,,27,,,,,,,,,,,,,,,,,,
190,AIPOM,424,AMBIPOM,,,32,,33|38|38,,,,,DOUBLE_HIT,,,,,,,,,,,
191,SUNKERN,192,SUNFLORA,,,1,SUN_STONE,16|18|20,,,,,,,,,,,,,,,,
193,YANMA,469,YANMEGA,,,33,,34|42|50,,,,,ANCIENT_POWER,,,,,,,,,,,
194,WOOPER,195,QUAGSIRE,,,20,,,,,,,,,,,,,,,,,,
198,MURKROW,430,HONCHKROW,,,1,DUSK_STONE,26|32|38,,,,,,,,,,,,,,,,
200,MISDREAVUS,429,MISMAGIUS,,,1,DUSK_STONE,22|26|30,,,,,,,,,,,,,,,,
203,GIRAFARIG,981,FARIGIRAF,,,32,,33|38|48,,,,,TWIN_BEAM,,,,,,,,,,,
204,PINECO,205,FORRETRESS,,,31,,,,,,,,,,,,,,,,,,
206,DUNSPARCE,982,DUDUNSPARCE,,three-segment,32,,33|38|48,,,,,HYPER_DRILL,,,,,,,4,,,,
206,DUNSPARCE,982,DUDUNSPARCE,,two-segment,32,,33|38|48,,,,,HYPER_DRILL,,,,,,,,,,,
207,GLIGAR,472,GLISCOR,,,1,RAZOR_FANG,48|56|64,DUSK|NIGHT,,,,,,,,,,,,,,,
209,SNUBBULL,210,GRANBULL,,,23,,,,,,,,,,,,,,,,,,
215,SNEASEL,461,WEAVILE,,,1,RAZOR_CLAW,48|56|64,DUSK|NIGHT,,,,,,,,,,,,,,,
216,TEDDIURSA,217,URSARING,,,30,,,,,,,,,,,,,,,,,,
217,URSARING,901,URSALUNA,,,1,PEAT_BLOCK,70|85|100,,,,,,,,,,,,,,,,
218,SLUGMA,219,MAGCARGO,,,38,,,,,,,,,,,,,,,,,,
220,SWINUB,221,PILOSWINE,,,33,,,,,,,,,,,,,,,,,,
221,PILOSWINE,473,MAMOSWINE,,,33,,48|56|64,,,,,ANCIENT_POWER,,,,,,,,,,,
223,REMORAID,224,OCTILLERY,,,25,,,,,,,,,,,,,,,,,,
228,HOUNDOUR,229,HOUNDOOM,,,24,,,,,,,,,,,,,,,,,,
231,PHANPY,232,DONPHAN,,,25,,,,,,,,,,,,,,,,,,
233,PORYGON2,474,PORYGON_Z,,,1,DUBIOUS_DISC,64|72|80,,,,,,,,,,,,,,,,
234,STANTLER,899,WYRDEER,,,31,,35|45|55,,,,,PSYSHIELD_BASH,,,,,,,,,,,
236,TYROGUE,106,HITMONLEE,,,20,,,,,,,,,,LOW_SWEEP,,,,,,,,
236,TYROGUE,107,HITMONCHAN,,,20,,,,,,,,,,MACH_PUNCH,,,,,,,,
236,TYROGUE,237,HITMONTOP,,,20,,,,,,,,,,RAPID_SPIN,,,,,,,,
238,SMOOCHUM,124,JYNX,,,30,,,,,,,,,,,,,,,,,,
239,ELEKID,125,ELECTABUZZ,,,30,,,,,,,,,,,,,,,,,,
240,MAGBY,126,MAGMAR,,,30,,,,,,,,,,,,,,,,,,
246,LARVITAR,247,PUPITAR,,,30,,,,,,,,,,,,,,,,,,
247,PUPITAR,248,TYRANITAR,,,55,,,,,,,,,,,,,,,,,,
252,TREECKO,253,GROVYLE,,,16,,,,,,,,,,,,,,,,,,
253,GROVYLE,254,SCEPTILE,,,36,,,,,,,,,,,,,,,,,,
255,TORCHIC,256,COMBUSKEN,,,16,,,,,,,,,,,,,,,,,,
256,COMBUSKEN,257,BLAZIKEN,,,36,,,,,,,,,,,,,,,,,,
258,MUDKIP,259,MARSHTOMP,,,16,,,,,,,,,,,,,,,,,,
259,MARSHTOMP,260,SWAMPERT,,,36,,,,,,,,,,,,,,,,,,
261,POOCHYENA,262,MIGHTYENA,,,18,,,,,,,,,,,,,,,,,,
263,ZIGZAGOON,264,LINOONE,,,20,,,,,,,,,,,,,,,,,,
265,WURMPLE,266,SILCOON,,,7,,,DAWN|DAY,,,,,,,,,,,,,,,
265,WURMPLE,268,CASCOON,,,7,,,DUSK|NIGHT,,,,,,,,,,,,,,,
266,SILCOON,267,BEAUTIFLY,,,10,,,,,,,,,,,,,,,,,,
268,CASCOON,269,DUSTOX,,,10,,,,,,,,,,,,,,,,,,
270,LOTAD,271,LOMBRE,,,14,,,,,,,,,,,,,,,,,,
271,LOMBRE,272,LUDICOLO,,,1,WATER_STONE,35|42|49,,,,,,,,,,,,,,,,
273,SEEDOT,274,NUZLEAF,,,14,,,,,,,,,,,,,,,,,,
274,NUZLEAF,275,SHIFTRY,,,1,LEAF_STONE,35|42|49,,,,,,,,,,,,,,,,
276,TAILLOW,277,SWELLOW,,,22,,,,,,,,,,,,,,,,,,
278,WINGULL,279,PELIPPER,,,25,,,,,,,,,,,,,,,,,,
280,RALTS,281,KIRLIA,,,20,,,,,,,,,,,,,,,,,,
281,KIRLIA,282,GARDEVOIR,,,30,,,,,,,,,,,,,,,,,,
281,KIRLIA,475,GALLADE,,,1,DAWN_STONE,30|30|30,,,MALE,,,,,,,,,,,,,
283,SURSKIT,284,MASQUERAIN,,,22,,,,,,,,,,,,,,,,,,
285,SHROOMISH,286,BRELOOM,,,23,,,,,,,,,,,,,,,,,,
287,SLAKOTH,288,VIGOROTH,,,18,,,,,,,,,,,,,,,,,,
288,VIGOROTH,289,SLAKING,,,36,,,,,,,,,,,,,,,,,,
290,NINCADA,291,NINJASK,,,20,,,,,,,,,,,,,,,,,,
290,NINCADA,292,SHEDINJA,,,20,,,,,,,,,,,,TRUE,,,,,,
293,WHISMUR,294,LOUDRED,,,20,,,,,,,,,,,,,,,,,,
294,LOUDRED,295,EXPLOUD,,,40,,,,,,,,,,,,,,,,,,
296,MAKUHITA,297,HARIYAMA,,,24,,,,,,,,,,,,,,,,,,
298,AZURILL,183,MARILL,,,1,,12|12|12,,,,,,70,,,,,,,,,,
299,NOSEPASS,476,PROBOPASS,,,1,THUNDER_STONE,32|36|40,,,,,,,,,,,,,,,,
300,SKITTY,301,DELCATTY,,,1,MOON_STONE,16|20|20,,,,,,,,,,,,,,,,
304,ARON,305,LAIRON,,,32,,,,,,,,,,,,,,,,,,
305,LAIRON,306,AGGRON,,,42,,,,,,,,,,,,,,,,,,
307,MEDITITE,308,MEDICHAM,,,37,,,,,,,,,,,,,,,,,,
309,ELECTRIKE,310,MANECTRIC,,,26,,,,,,,,,,,,,,,,,,
315,ROSELIA,407,ROSERADE,,,1,SHINY_STONE,32|32|36,,,,,,,,,,,,,,,,
316,GULPIN,317,SWALOT,,,26,,,,,,,,,,,,,,,,,,
318,CARVANHA,319,SHARPEDO,,,30,,,,,,,,,,,,,,,,,,
320,WAILMER,321,WAILORD,,,40,,,,,,,,,,,,,,,,,,
322,NUMEL,323,CAMERUPT,,,33,,,,,,,,,,,,,,,,,,
325,SPOINK,326,GRUMPIG,,,32,,,,,,,,,,,,,,,,,,
328,TRAPINCH,329,VIBRAVA,,,35,,,,,,,,,,,,,,,,,,
329,VIBRAVA,330,FLYGON,,,45,,,,,,,,,,,,,,,,,,
331,CACNEA,332,CACTURNE,,,32,,,,,,,,,,,,,,,,,,
333,SWABLU,334,ALTARIA,,,35,,,,,,,,,,,,,,,,,,
339,BARBOACH,340,WHISCASH,,,30,,,,,,,,,,,,,,,,,,
341,CORPHISH,342,CRAWDAUNT,,,30,,,,,,,,,,,,,,,,,,
343,BALTOY,344,CLAYDOL,,,36,,,,,,,,,,,,,,,,,,
345,LILEEP,346,CRADILY,,,40,,,,,,,,,,,,,,,,,,
347,ANORITH,348,ARMALDO,,,40,,,,,,,,,,,,,,,,,,
349,FEEBAS,350,MILOTIC,,,1,PRISM_SCALE,30|35|40,,,,,,,,,,,,,,,,
353,SHUPPET,354,BANETTE,,,37,,,,,,,,,,,,,,,,,,
355,DUSKULL,356,DUSCLOPS,,,37,,,,,,,,,,,,,,,,,,
356,DUSCLOPS,477,DUSKNOIR,,,1,REAPER_CLOTH,47|57|67,,,,,,,,,,,,,,,,
360,WYNAUT,202,WOBBUFFET,,,15,,,,,,,,,,,,,,,,,,
361,SNORUNT,362,GLALIE,,,42,,,,,,,,,,,,,,,,,,
361,SNORUNT,478,FROSLASS,,,1,DAWN_STONE,42|42|42,,,FEMALE,,,,,,,,,,,,,
363,SPHEAL,364,SEALEO,,,32,,,,,,,,,,,,,,,,,,
364,SEALEO,365,WALREIN,,,44,,,,,,,,,,,,,,,,,,
366,CLAMPERL,367,HUNTAIL,,,1,LINKING_CORD,40|40|50,,,,,,,,,,,,,,,DEEP_SEA_TOOTH,
366,CLAMPERL,368,GOREBYSS,,,1,LINKING_CORD,40|40|50,,,,,,,,,,,,,,,DEEP_SEA_SCALE,
371,BAGON,372,SHELGON,,,30,,,,,,,,,,,,,,,,,,
372,SHELGON,373,SALAMENCE,,,50,,,,,,,,,,,,,,,,,,
374,BELDUM,375,METANG,,,20,,,,,,,,,,,,,,,,,,
375,METANG,376,METAGROSS,,,45,,,,,,,,,,,,,,,,,,
387,TURTWIG,388,GROTLE,,,18,,,,,,,,,,,,,,,,,,
388,GROTLE,389,TORTERRA,,,32,,,,,,,,,,,,,,,,,,
390,CHIMCHAR,391,MONFERNO,,,14,,,,,,,,,,,,,,,,,,
391,MONFERNO,392,INFERNAPE,,,36,,,,,,,,,,,,,,,,,,
393,PIPLUP,394,PRINPLUP,,,16,,,,,,,,,,,,,,,,,,
394,PRINPLUP,395,EMPOLEON,,,36,,,,,,,,,,,,,,,,,,
396,STARLY,397,STARAVIA,,,14,,,,,,,,,,,,,,,,,,
397,STARAVIA,398,STARAPTOR,,,34,,,,,,,,,,,,,,,,,,
399,BIDOOF,400,BIBAREL,,,15,,,,,,,,,,,,,,,,,,
401,KRICKETOT,402,KRICKETUNE,,,10,,,,,,,,,,,,,,,,,,
403,SHINX,404,LUXIO,,,15,,,,,,,,,,,,,,,,,,
404,LUXIO,405,LUXRAY,,,30,,,,,,,,,,,,,,,,,,
406,BUDEW,315,ROSELIA,,,1,,12|12|16,DAWN|DAY,,,,,70,,,,,,,,,,
408,CRANIDOS,409,RAMPARDOS,,,30,,,,,,,,,,,,,,,,,,
410,SHIELDON,411,BASTIODON,,,30,,,,,,,,,,,,,,,,,,
412,BURMY,414,MOTHIM,,,20,,,,,MALE,,,,,,,,,,,,,
412,BURMY,413,WORMADAM,,,20,,,,,FEMALE,,,,,,,,,,,,,
415,COMBEE,416,VESPIQUEN,,,21,,,,,FEMALE,,,,,,,,,,,,,
418,BUIZEL,419,FLOATZEL,,,26,,,,,,,,,,,,,,,,,,
420,CHERUBI,421,CHERRIM,,,25,,,,,,,,,,,,,,,,,,
422,SHELLOS,423,GASTRODON,,,30,,,,,,,,,,,,,,,,,,
425,DRIFLOON,426,DRIFBLIM,,,28,,,,,,,,,,,,,,,,,,
427,BUNEARY,428,LOPUNNY,,,1,,25|25|30,,,,,,50,,,,,,,,,,
431,GLAMEOW,432,PURUGLY,,,38,,,,,,,,,,,,,,,,,,
433,CHINGLING,358,CHIMECHO,,,1,,20|25|25,DUSK|NIGHT,,,,,90,,,,,,,,,,
434,STUNKY,435,SKUNTANK,,,34,,,,,,,,,,,,,,,,,,
436,BRONZOR,437,BRONZONG,,,33,,,,,,,,,,,,,,,,,,
438,BONSLY,185,SUDOWOODO,,,16,,19|24|24,,,,,MIMIC,,,,,,,,,,,
439,MIME_JR,4122,GALAR_MR_MIME,,,18,,19|24|24,DUSK|NIGHT,,,,MIMIC,,,,,,,,,,,
439,MIME_JR,122,MR_MIME,,,18,,19|24|24,DAWN|DAY,,,,MIMIC,,,,,,,,,,,
440,HAPPINY,113,CHANSEY,,,1,OVAL_STONE,20|25|25,DAWN|DAY,,,,,,,,,,,,,,,
443,GIBLE,444,GABITE,,,24,,,,,,,,,,,,,,,,,,
444,GABITE,445,GARCHOMP,,,48,,,,,,,,,,,,,,,,,,
446,MUNCHLAX,143,SNORLAX,,,1,,30|30|30,,,,,,120,,,,,,,,,,
447,RIOLU,448,LUCARIO,,,1,,32|32|32,DAWN|DAY,,,,,120,,,,,,,,,,
449,HIPPOPOTAS,450,HIPPOWDON,,,34,,,,,,,,,,,,,,,,,,
451,SKORUPI,452,DRAPION,,,40,,,,,,,,,,,,,,,,,,
453,CROAGUNK,454,TOXICROAK,,,37,,,,,,,,,,,,,,,,,,
456,FINNEON,457,LUMINEON,,,31,,,,,,,,,,,,,,,,,,
458,MANTYKE,226,MANTINE,,,28,,28|28|48,,,,,,,REMORAID,,,,,,,,,
459,SNOVER,460,ABOMASNOW,,,40,,,,,,,,,,,,,,,,,,
495,SNIVY,496,SERVINE,,,17,,,,,,,,,,,,,,,,,,
496,SERVINE,497,SERPERIOR,,,36,,,,,,,,,,,,,,,,,,
498,TEPIG,499,PIGNITE,,,17,,,,,,,,,,,,,,,,,,
499,PIGNITE,500,EMBOAR,,,36,,,,,,,,,,,,,,,,,,
501,OSHAWOTT,502,DEWOTT,,,17,,,,,,,,,,,,,,,,,,
502,DEWOTT,6503,HISUI_SAMUROTT,,,36,,,DUSK|NIGHT,,,,,,,,,,,,,,,
502,DEWOTT,503,SAMUROTT,,,36,,,DAWN|DAY,,,,,,,,,,,,,,,
504,PATRAT,505,WATCHOG,,,20,,,,,,,,,,,,,,,,,,
506,LILLIPUP,507,HERDIER,,,16,,,,,,,,,,,,,,,,,,
